City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
west wendover,40.7391,-114.0733,85.21,32.0,1.0,17.27,US,1627776334.0
zhanaozen,43.3,52.8,83.14,22.0,25.0,6.06,KZ,1627776335.0
ilulissat,69.2167,-51.1,55.42,50.0,48.0,9.22,GL,1627776335.0
hasaki,35.7333,140.8333,84.6,79.0,38.0,4.88,JP,1627776336.0
greenwood,34.1668,-82.1165,87.8,76.0,1.0,0.0,US,1627776336.0
cayenne,4.9333,-52.3333,83.08,80.0,20.0,3.0,GF,1627776336.0
vysokogornyy,50.1167,139.15,64.76,80.0,98.0,3.78,RU,1627776337.0
labuhan,-6.8844,112.2051,77.41,78.0,60.0,7.2,ID,1627776337.0
chuy,-33.6971,-53.4616,47.52,92.0,0.0,4.61,UY,1627776338.0
moranbah,-22.0016,148.0466,73.35,59.0,0.0,4.99,AU,1627776338.0
nome,64.5011,-165.4064,49.15,92.0,100.0,17.07,US,1627776048.0
kloulklubed,7.0419,134.2556,79.3,72.0,92.0,10.47,PW,1627776339.0
saint-philippe,-21.3585,55.7679,65.75,83.0,38.0,13.09,RE,1627776339.0
sabya,17.1495,42.6254,84.47,62.0,90.0,5.97,SA,1627776340.0
havoysund,70.9963,24.6622,45.48,86.0,100.0,6.02,NO,1627776340.0
pangody,65.85,74.4859,49.6,77.0,19.0,6.85,RU,1627776341.0
rawson,-43.3002,-65.1023,44.15,47.0,1.0,14.03,AR,1627776341.0
morro bay,35.3658,-120.8499,88.68,62.0,22.0,3.0,US,1627776341.0
faya,18.3851,42.4509,61.32,72.0,99.0,4.68,SA,1627776342.0
srednekolymsk,67.45,153.6833,36.95,98.0,100.0,12.95,RU,1627776342.0
aras,42.5617,-2.356,55.81,67.0,75.0,6.91,ES,1627776342.0
ajaccio,42.0,8.9167,75.69,78.0,75.0,2.3,FR,1627776169.0
beringovskiy,63.05,179.3167,45.86,69.0,91.0,0.92,RU,1627776343.0
santa rosalia,27.3167,-112.2833,88.75,48.0,1.0,5.17,MX,1627776344.0
padang,-0.9492,100.3543,76.51,86.0,100.0,2.98,ID,1627776300.0
culebra,18.303,-65.301,83.19,80.0,12.0,15.86,PR,1627776344.0
laguna,38.421,-121.4238,102.9,31.0,1.0,5.99,US,1627776344.0
husavik,66.0449,-17.3389,53.67,72.0,88.0,2.82,IS,1627776345.0
palma del rio,37.7002,-5.2812,77.32,37.0,64.0,4.23,ES,1627776345.0
north bend,43.4065,-124.2243,79.25,88.0,75.0,13.8,US,1627776308.0
calabazar de sagua,22.6447,-79.8961,80.82,81.0,18.0,8.52,CU,1627776346.0
erzin,36.9559,36.2,79.52,83.0,1.0,1.39,TR,1627776346.0
moron,-34.6534,-58.6198,54.99,74.0,20.0,2.57,AR,1627776108.0
muzhi,65.3667,64.6667,51.42,77.0,99.0,6.33,RU,1627776347.0
fevik,58.3794,8.6766,56.97,81.0,95.0,12.17,NO,1627776347.0
chifeng,42.2683,118.9636,66.52,77.0,100.0,14.58,CN,1627776256.0
cudalbi,45.7833,27.7,69.08,84.0,44.0,8.23,RO,1627776348.0
bosaso,11.2842,49.1816,86.92,38.0,46.0,18.99,SO,1627776348.0
bjornevatn,69.6672,29.9847,48.54,100.0,90.0,4.61,NO,1627776348.0
touros,-5.1989,-35.4608,76.01,82.0,73.0,16.02,BR,1627776349.0
semey,50.4111,80.2275,61.02,44.0,0.0,8.95,KZ,1627776349.0
hami,42.8,93.45,77.2,39.0,100.0,7.65,CN,1627776349.0
luderitz,-26.6481,15.1594,67.59,25.0,0.0,7.87,NA,1627776350.0
mufumbwe,-13.6833,24.8,53.89,70.0,0.0,7.02,ZM,1627776350.0
alta floresta,-9.8756,-56.0861,76.57,31.0,23.0,5.08,BR,1627776351.0
lavrentiya,65.5833,-171.0,42.87,86.0,100.0,6.51,RU,1627776074.0
inuvik,68.3499,-133.7218,76.77,40.0,88.0,11.3,CA,1627776351.0
guanica,17.9716,-66.908,84.97,81.0,7.0,7.0,PR,1627776351.0
riberalta,-10.9833,-66.1,71.65,41.0,11.0,1.43,BO,1627776352.0
ryomgard,56.3843,10.503,59.0,89.0,75.0,7.0,DK,1627776352.0
tevaitoa,-16.7833,-151.5,76.95,66.0,99.0,15.23,PF,1627776353.0
port lincoln,-34.7333,135.8667,53.37,74.0,2.0,10.09,AU,1627776353.0
kizema,61.113,44.8302,53.08,99.0,73.0,6.98,RU,1627776354.0
khandyga,62.6667,135.6,70.32,41.0,1.0,3.22,RU,1627776354.0
sabha,27.0377,14.4283,87.1,15.0,0.0,8.84,LY,1627776355.0
marsa matruh,31.3525,27.2453,79.21,90.0,0.0,13.42,EG,1627776355.0
katangli,51.7102,143.2326,51.89,88.0,100.0,14.12,RU,1627776355.0
saint-augustin,51.226,-58.6502,54.75,89.0,100.0,17.63,CA,1627776106.0
huarmey,-10.0681,-78.1522,65.03,82.0,19.0,12.24,PE,1627776356.0
bundaberg,-24.85,152.35,73.69,56.0,0.0,14.97,AU,1627776356.0
vera cruz,-12.6333,-41.0333,67.91,69.0,99.0,7.83,BR,1627776357.0
de aar,-30.6497,24.0123,47.19,23.0,28.0,5.97,ZA,1627776357.0
kamaishi,39.2667,141.8833,74.35,85.0,90.0,1.3,JP,1627776357.0
silvassa,20.2667,73.0167,78.3,88.0,100.0,13.2,IN,1627776358.0
vardo,70.3705,31.1107,48.18,93.0,99.0,12.12,NO,1627776358.0
rafai,4.95,23.9167,67.62,99.0,100.0,3.65,CF,1627776359.0
muroto,33.2833,134.15,82.33,68.0,48.0,1.59,JP,1627776359.0
oriximina,-1.7656,-55.8661,72.99,95.0,98.0,2.37,BR,1627776359.0
altinopolis,-21.0256,-47.3739,57.11,44.0,34.0,4.79,BR,1627776360.0
mookane,-23.688,26.6595,50.68,43.0,0.0,4.83,BW,1627776360.0
severnyy,50.677,36.5532,71.64,64.0,0.0,0.0,RU,1627776361.0
bako,5.7833,36.5667,66.09,59.0,100.0,3.71,ET,1627776361.0
ulundi,-28.3352,31.4162,55.94,45.0,0.0,5.14,ZA,1627776361.0
marienburg,54.0359,19.0266,64.06,65.0,10.0,10.69,PL,1627776362.0
alice springs,-23.7,133.8833,62.15,55.0,0.0,11.5,AU,1627776362.0
guangyuan,32.442,105.823,80.62,85.0,11.0,2.19,CN,1627776362.0
bonfim,3.0833,-59.95,76.62,87.0,59.0,5.01,BR,1627776363.0
ancud,-41.8697,-73.8203,36.93,81.0,42.0,3.29,CL,1627776363.0
diamantino,-14.4086,-56.4461,72.19,28.0,52.0,2.08,BR,1627776364.0
soe,-9.8607,124.284,71.87,64.0,15.0,4.18,ID,1627776364.0
ust-ishim,57.6935,71.1665,52.29,95.0,6.0,3.69,RU,1627776364.0
hambantota,6.1241,81.1185,78.85,82.0,72.0,16.64,LK,1627776365.0
airai,-8.9266,125.4092,67.42,57.0,49.0,3.58,TL,1627776365.0
nerang,-27.9833,153.3333,70.03,74.0,1.0,5.01,AU,1627776226.0
bagotville,-28.9833,153.4167,73.42,58.0,0.0,5.79,AU,1627776366.0
weatherford,32.7593,-97.7972,97.81,49.0,4.0,6.93,US,1627776366.0
matara,5.9485,80.5353,77.38,88.0,52.0,10.56,LK,1627776366.0
placido de castro,-10.3353,-67.1856,72.95,40.0,14.0,2.1,BR,1627776367.0
kasongo-lunda,-6.4667,16.8167,76.3,28.0,86.0,1.61,CD,1627776367.0
gannavaram,16.5333,80.8,80.58,78.0,40.0,6.91,IN,1627776368.0
verkhnyaya toyma,62.2349,44.9985,50.41,99.0,73.0,3.36,RU,1627776368.0
bay roberts,47.5999,-53.2648,63.43,85.0,6.0,11.01,CA,1627776369.0
caconda,-13.7333,15.0667,54.81,33.0,0.0,4.76,AO,1627776369.0
qaqortoq,60.7167,-46.0333,50.5,81.0,90.0,3.67,GL,1627776369.0
berlevag,70.8578,29.0864,48.2,93.0,100.0,6.15,NO,1627776370.0
hervey bay,-25.2986,152.8535,67.44,74.0,0.0,12.64,AU,1627776162.0
sovetskiy,61.3614,63.5842,56.68,91.0,90.0,6.96,RU,1627776370.0
sobolevo,54.4299,31.8996,63.27,71.0,100.0,6.87,RU,1627776371.0
belaya gora,68.5333,146.4167,43.95,69.0,100.0,23.42,RU,1627776371.0
muisne,0.6,-80.0333,75.51,85.0,98.0,10.96,EC,1627776372.0
maraa,-1.8333,-65.3667,77.25,64.0,85.0,2.64,BR,1627776372.0
nemuro,43.3236,145.575,70.23,98.0,100.0,16.96,JP,1627776373.0
oktyabrskoye,43.0645,44.7417,59.14,94.0,38.0,4.47,RU,1627776373.0
talnakh,69.4865,88.3972,55.44,76.0,30.0,9.8,RU,1627776373.0
dunedin,-45.8742,170.5036,51.8,80.0,100.0,5.01,NZ,1627776374.0
hammerfest,70.6634,23.6821,45.05,87.0,90.0,2.3,NO,1627776374.0
chabahar,25.2919,60.643,83.91,81.0,22.0,10.07,IR,1627776374.0
grand-santi,4.25,-54.3833,74.59,94.0,80.0,3.11,GF,1627776375.0
pithapuram,17.1167,82.2667,78.8,79.0,97.0,6.85,IN,1627776375.0
miandrivazo,-19.5167,45.4667,66.72,55.0,1.0,4.07,MG,1627776376.0
coquimbo,-29.9533,-71.3436,57.42,77.0,25.0,1.77,CL,1627776120.0
olafsvik,64.8945,-23.7142,54.1,94.0,92.0,7.47,IS,1627776376.0
nikko,36.75,139.6167,81.01,65.0,3.0,3.74,JP,1627776376.0
aranos,-24.1333,19.1167,49.53,39.0,0.0,10.76,NA,1627776377.0
dakoro,14.5106,6.765,84.88,56.0,93.0,12.68,NE,1627776377.0
petatlan,17.5167,-101.2667,91.2,73.0,99.0,3.15,MX,1627776378.0
thiruvananthapuram,8.4833,76.9167,78.78,94.0,20.0,5.75,IN,1627776378.0
rio gallegos,-51.6226,-69.2181,40.03,54.0,100.0,19.3,AR,1627776378.0
muli,2.9167,73.5667,81.52,76.0,97.0,6.98,MV,1627776379.0
hualmay,-11.0964,-77.6139,64.06,83.0,20.0,11.36,PE,1627776379.0
severnoye,56.3491,78.3619,54.84,98.0,11.0,5.73,RU,1627776380.0
namasigue,13.2047,-87.1389,89.69,66.0,40.0,11.5,HN,1627776380.0
spearfish,44.4908,-103.8594,84.85,28.0,1.0,3.0,US,1627776380.0
koronowo,53.3137,17.937,63.32,68.0,2.0,9.66,PL,1627776381.0
geraldton,-28.7667,114.6,62.13,82.0,40.0,18.41,AU,1627776382.0
kidal,18.4411,1.4078,90.9,34.0,62.0,8.7,ML,1627776382.0
villarrobledo,39.2699,-2.6012,64.78,69.0,1.0,6.24,ES,1627776383.0
rio cuarto,-33.1307,-64.3499,49.77,46.0,0.0,8.05,AR,1627776355.0
liverpool,53.4106,-2.9779,59.18,85.0,90.0,1.99,GB,1627776099.0
dingli,35.8614,14.3822,82.81,65.0,0.0,3.44,MT,1627776383.0
maceio,-9.6658,-35.7353,74.91,84.0,36.0,18.52,BR,1627776158.0
malino,15.1257,120.6727,81.86,81.0,100.0,7.92,PH,1627776384.0
altoona,40.5187,-78.3947,73.4,68.0,28.0,4.0,US,1627776252.0
ankazoabo,-22.2833,44.5167,57.67,75.0,0.0,4.92,MG,1627776385.0
constitucion,-35.3333,-72.4167,52.27,79.0,37.0,6.46,CL,1627776356.0
tallahassee,30.4383,-84.2807,89.8,68.0,75.0,8.05,US,1627776271.0
nantucket,41.2835,-70.0995,69.03,73.0,1.0,10.36,US,1627776386.0
margate,51.3813,1.3862,61.03,90.0,54.0,1.01,GB,1627776386.0
castelo,-20.6036,-41.1847,60.91,92.0,61.0,1.5,BR,1627776386.0
swellendam,-34.0226,20.4417,55.54,50.0,86.0,2.08,ZA,1627776387.0
port hedland,-20.3167,118.5667,64.45,48.0,3.0,8.05,AU,1627776387.0
karratha,-20.7377,116.8463,61.66,45.0,1.0,9.22,AU,1627776388.0
astoria,46.1879,-123.8313,73.87,84.0,75.0,1.01,US,1627776307.0
chancay,-11.5714,-77.2672,62.56,86.0,38.0,8.37,PE,1627776388.0
umm kaddadah,13.6017,26.6876,81.34,61.0,73.0,19.8,SD,1627776389.0
noumea,-22.2763,166.4572,69.78,55.0,52.0,10.18,NC,1627776389.0
sao filipe,14.8961,-24.4956,75.63,85.0,79.0,8.3,CV,1627776390.0
les cayes,18.2,-73.75,77.88,89.0,56.0,1.83,HT,1627776390.0
roebourne,-20.7833,117.1333,62.26,46.0,1.0,9.22,AU,1627776391.0
alekseyevsk,57.8406,108.3492,66.38,46.0,3.0,7.83,RU,1627776391.0
lagoa,39.05,-27.9833,70.52,88.0,100.0,9.48,PT,1627776391.0
oussouye,12.485,-16.5469,77.34,89.0,100.0,12.5,SN,1627776392.0
capreol,46.706,-80.9225,57.9,92.0,100.0,1.66,CA,1627776108.0
leh,34.1667,77.5833,61.83,59.0,74.0,3.71,IN,1627776104.0
stromness,58.965,-3.296,52.05,75.0,100.0,19.3,GB,1627776393.0
hovd,48.0056,91.6419,55.13,81.0,100.0,6.13,MN,1627776393.0
cap malheureux,-19.9842,57.6142,69.48,75.0,0.0,5.99,MU,1627776394.0
yerofey pavlovich,53.9667,121.9667,52.63,98.0,100.0,4.27,RU,1627776394.0
tateyama,34.9833,139.8667,86.05,75.0,16.0,6.31,JP,1627776116.0
gonbad-e qabus,37.25,55.1672,78.13,70.0,61.0,4.92,IR,1627776394.0
uyutne,45.1994,33.3014,72.82,68.0,0.0,5.46,UA,1627776395.0
xai-xai,-25.0519,33.6442,58.96,91.0,0.0,4.21,MZ,1627776395.0
mangrol,21.1167,70.1167,81.32,84.0,100.0,21.12,IN,1627776396.0
ayorou,14.7308,0.9174,87.75,52.0,29.0,11.86,NE,1627776396.0
mao,39.8885,4.2658,64.96,94.0,90.0,17.27,ES,1627776396.0
nagai,38.1036,140.035,85.59,62.0,30.0,0.87,JP,1627776397.0
rundu,-17.9333,19.7667,51.4,42.0,1.0,6.42,NA,1627776397.0
flinders,-34.5833,150.8552,75.06,51.0,1.0,8.05,AU,1627776398.0
atbasar,51.8,68.3333,66.94,73.0,94.0,4.45,KZ,1627776398.0
gamba,-2.65,10.0,72.09,82.0,4.0,3.67,GA,1627776398.0
kavieng,-2.5744,150.7967,83.5,67.0,26.0,3.8,PG,1627776399.0
serenje,-13.2325,30.2352,51.12,91.0,51.0,9.62,ZM,1627776399.0
biskamzha,53.4497,89.5272,55.9,90.0,2.0,0.98,RU,1627776399.0
port hardy,50.6996,-127.4199,66.04,75.0,47.0,15.17,CA,1627776400.0
keti bandar,24.1447,67.4497,81.59,85.0,100.0,24.29,PK,1627776400.0
suntar,62.1444,117.6319,70.92,41.0,25.0,3.94,RU,1627776401.0
haines junction,60.7522,-137.5108,78.89,28.0,10.0,7.72,CA,1627776401.0
kruisfontein,-34.0033,24.7314,57.33,24.0,66.0,7.72,ZA,1627776401.0
bubaque,11.2833,-15.8333,77.88,88.0,100.0,19.75,GW,1627776402.0
urubicha,-15.3833,-62.95,68.99,44.0,11.0,0.94,BO,1627776402.0
lakes entrance,-37.8811,147.981,52.18,84.0,100.0,7.52,AU,1627776403.0
angoche,-16.2325,39.9086,72.99,75.0,25.0,12.57,MZ,1627776403.0
limbang,4.75,115.0,78.91,77.0,18.0,2.37,MY,1627776403.0
vanimo,-2.6741,141.3028,83.68,70.0,37.0,4.56,PG,1627776404.0
viedma,-40.8135,-62.9967,42.13,68.0,2.0,3.71,AR,1627776404.0
sao joao da barra,-21.6403,-41.0511,66.29,64.0,98.0,10.31,BR,1627776254.0
roald,62.5833,6.1333,56.16,76.0,90.0,17.27,NO,1627776405.0
manokwari,-0.8667,134.0833,82.17,71.0,73.0,1.54,ID,1627776405.0
sena madureira,-9.0656,-68.6569,73.47,44.0,14.0,1.45,BR,1627776405.0
kabardinka,44.6514,37.9428,68.22,76.0,1.0,3.4,RU,1627776406.0
amazar,53.858,120.875,52.86,98.0,100.0,3.91,RU,1627776406.0
bantry,51.6833,-9.45,56.68,93.0,15.0,5.61,IE,1627776407.0
marzuq,14.4,46.4667,76.87,67.0,20.0,4.65,YE,1627776407.0
baykit,61.67,96.37,61.77,68.0,4.0,1.66,RU,1627776408.0
seymchan,62.8833,152.4333,55.99,62.0,81.0,22.86,RU,1627776408.0
puerto del rosario,28.5004,-13.8627,71.35,78.0,15.0,19.57,ES,1627776408.0
marathon,44.9,-89.7668,72.93,82.0,1.0,5.75,US,1627776409.0
nizwa,22.9333,57.5333,86.79,53.0,41.0,0.94,OM,1627776409.0
eyl,7.9803,49.8164,76.15,71.0,71.0,16.87,SO,1627776410.0
havelock,34.8791,-76.9013,84.43,93.0,40.0,3.44,US,1627776410.0
kushima,31.4583,131.2333,80.11,70.0,91.0,3.33,JP,1627776410.0
sozimskiy,59.7418,52.2482,57.79,97.0,44.0,7.11,RU,1627776411.0
iwanai,42.9744,140.5089,88.84,51.0,20.0,1.39,JP,1627776411.0
pedasi,7.5333,-80.0333,82.13,76.0,20.0,1.19,PA,1627776412.0
lebedinyy,58.5167,125.5167,57.2,51.0,100.0,10.38,RU,1627776412.0
marawi,7.9986,124.2928,75.65,76.0,60.0,2.91,PH,1627776413.0
hokitika,-42.7167,170.9667,54.68,82.0,100.0,5.3,NZ,1627776138.0
yar-sale,66.8333,70.8333,47.12,87.0,23.0,7.56,RU,1627776413.0
richards bay,-28.783,32.0377,59.54,86.0,0.0,8.79,ZA,1627776413.0
escanaba,45.7453,-87.0646,72.03,80.0,40.0,5.75,US,1627776400.0
simao,22.7886,100.9748,67.89,95.0,98.0,1.01,CN,1627776414.0
yueyang,29.3333,113.0919,86.31,68.0,8.0,2.64,CN,1627776414.0
francistown,-21.17,27.5079,50.14,75.0,0.0,7.47,BW,1627776415.0
rongcheng,30.634,117.8517,83.17,80.0,7.0,1.39,CN,1627776415.0
sinnamary,5.3833,-52.95,78.76,85.0,88.0,8.66,GF,1627776416.0
bara,10.3744,10.7288,72.27,95.0,98.0,6.38,NG,1627776416.0
thunder bay,48.4001,-89.3168,71.29,58.0,93.0,6.26,CA,1627776156.0
clyde river,70.4692,-68.5914,38.84,88.0,100.0,3.42,CA,1627776417.0
evensk,61.95,159.2333,54.46,59.0,71.0,6.22,RU,1627776417.0
wattegama,6.7989,81.4808,75.24,79.0,92.0,4.09,LK,1627776418.0
dzhebariki-khaya,62.2167,135.8,70.88,41.0,1.0,2.8,RU,1627776418.0
lake charles,30.2131,-93.2044,91.38,69.0,1.0,10.36,US,1627776418.0
kangaba,11.9333,-8.4167,73.02,95.0,100.0,3.98,ML,1627776419.0
antigonish,45.6169,-61.9986,64.04,77.0,68.0,4.0,CA,1627776419.0
lata,40.1629,-8.3327,59.81,98.0,19.0,1.61,PT,1627776419.0
weirton,40.419,-80.5895,74.12,64.0,80.0,0.83,US,1627776271.0
garoua,9.3,13.4,73.35,84.0,100.0,2.21,CM,1627776420.0
laishevo,55.4046,49.5504,64.62,74.0,10.0,10.49,RU,1627776420.0
katherine,-14.4667,132.2667,80.92,61.0,26.0,4.61,AU,1627776421.0
manaoag,16.0333,120.4833,80.76,86.0,100.0,4.5,PH,1627776421.0
bandar-e lengeh,26.5579,54.8807,92.19,67.0,88.0,4.03,IR,1627776421.0
artigas,-30.4,-56.4667,49.68,82.0,8.0,6.24,UY,1627776422.0
swiebodzice,50.8598,16.3282,65.03,82.0,54.0,2.15,PL,1627776422.0
arman,59.7,150.1667,63.97,50.0,27.0,3.87,RU,1627776423.0
kadoma,34.7333,135.5833,86.65,56.0,37.0,0.69,JP,1627776423.0
saint andrews,34.0454,-81.1293,88.81,70.0,75.0,11.5,US,1627776423.0
altay,47.8667,88.1167,61.23,53.0,57.0,2.28,CN,1627776340.0
winnemucca,40.973,-117.7357,86.05,30.0,75.0,9.22,US,1627776199.0
san policarpo,12.1791,125.5072,84.45,73.0,100.0,9.42,PH,1627776424.0
caravelas,-17.7125,-39.2481,67.14,77.0,56.0,9.53,BR,1627776425.0
bengkulu,-3.8004,102.2655,74.79,90.0,43.0,3.58,ID,1627776425.0
porto feliz,-23.2147,-47.5239,56.03,78.0,99.0,11.21,BR,1627776426.0
porto de moz,-1.7483,-52.2383,72.23,96.0,93.0,2.33,BR,1627776426.0
hirara,24.8,125.2833,82.67,89.0,75.0,9.22,JP,1627776427.0
hit,33.6416,42.8251,94.82,14.0,0.0,11.5,IQ,1627776427.0
ko samui,9.5357,99.9357,81.97,79.0,95.0,16.67,TH,1627776427.0
phon,15.816,102.5998,83.1,80.0,97.0,13.67,TH,1627776428.0
banchory,57.0517,-2.4882,52.81,94.0,90.0,6.96,GB,1627776428.0
verkhnetulomskiy,68.6073,31.7962,51.93,90.0,99.0,2.04,RU,1627776428.0
bereda,43.2686,-7.5406,55.92,99.0,17.0,1.83,ES,1627776429.0
deputatskiy,69.3,139.9,45.23,68.0,99.0,6.22,RU,1627776429.0
palmer,42.1584,-72.3287,68.29,65.0,13.0,2.98,US,1627776430.0
hofn,64.2539,-15.2082,51.37,90.0,20.0,7.29,IS,1627776430.0
namikupa,-10.8333,39.6,62.64,92.0,18.0,3.42,TZ,1627776431.0
namibe,-15.1961,12.1522,68.54,77.0,20.0,6.89,AO,1627776431.0
paranaiba,-19.6772,-51.1908,66.63,26.0,36.0,6.62,BR,1627776432.0
guarapuava,-25.3953,-51.4581,46.85,59.0,100.0,2.68,BR,1627776432.0
abu dhabi,24.4667,54.3667,89.71,89.0,37.0,4.61,AE,1627776432.0
liepaja,56.5419,21.0367,62.65,82.0,75.0,6.91,LV,1627776433.0
avera,33.194,-82.5271,91.45,56.0,85.0,3.89,US,1627776433.0
takoradi,4.8845,-1.7554,75.81,88.0,62.0,6.67,GH,1627776434.0
plouzane,48.3833,-4.6167,57.52,94.0,0.0,4.61,FR,1627776434.0
tongliao,43.6125,122.2653,68.76,93.0,47.0,8.97,CN,1627776146.0
san rafael,-34.6177,-68.3301,50.9,51.0,41.0,5.5,AR,1627776434.0
calama,-22.4667,-68.9333,54.09,26.0,75.0,5.75,CL,1627776271.0
sembe,1.6481,14.5806,72.23,89.0,100.0,1.99,CG,1627776435.0
royan,45.6285,-1.0281,62.85,80.0,100.0,10.67,FR,1627776247.0
askarovo,53.3372,58.5089,63.55,77.0,75.0,6.71,RU,1627776436.0
kenai,60.5544,-151.2583,70.03,57.0,1.0,10.36,US,1627776436.0
kondopoga,62.2057,34.2614,54.09,96.0,18.0,4.36,RU,1627776436.0
korisos,40.5,21.3833,73.13,33.0,0.0,3.89,GR,1627776437.0
half moon bay,37.4636,-122.4286,91.58,65.0,40.0,1.01,US,1627776242.0
mango,27.9797,-82.3065,88.54,78.0,40.0,9.22,US,1627776437.0
kirakira,-10.4544,161.9205,81.41,66.0,84.0,6.58,SB,1627776438.0
salalah,17.0151,54.0924,77.09,94.0,90.0,5.75,OM,1627776438.0
lichuan,30.3,108.85,72.75,86.0,0.0,1.83,CN,1627776439.0
coolum beach,-26.5333,153.1,71.33,79.0,10.0,1.01,AU,1627776439.0
listvyanskiy,54.4399,83.4984,64.18,47.0,96.0,6.42,RU,1627776440.0
turukhansk,65.8167,87.9833,53.65,76.0,100.0,6.55,RU,1627776440.0
tuyen quang,21.8233,105.2181,76.86,98.0,100.0,1.34,VN,1627776441.0
dumai,1.6833,101.45,73.56,97.0,100.0,3.0,ID,1627776441.0
nichinan,31.6,131.3667,79.75,75.0,92.0,1.34,JP,1627776441.0
regina,50.4501,-104.6178,85.98,23.0,0.0,10.0,CA,1627776291.0
clonakilty,51.6231,-8.8706,56.41,90.0,42.0,8.86,IE,1627776442.0
kristiansund,63.1115,7.732,53.65,76.0,90.0,9.22,NO,1627776442.0
puerto colombia,10.9878,-74.9547,82.49,85.0,6.0,23.78,CO,1627776443.0
zhigansk,66.7697,123.3711,73.67,39.0,21.0,9.15,RU,1627776443.0
hirna,9.2167,41.1,58.1,85.0,63.0,7.94,ET,1627776443.0
lubango,-14.9172,13.4925,57.13,27.0,0.0,5.95,AO,1627776444.0
san juan,-31.5375,-68.5364,52.36,35.0,44.0,2.59,AR,1627776444.0
wasilla,61.5814,-149.4394,74.28,51.0,1.0,4.61,US,1627776445.0
diffa,13.3154,12.6113,82.26,60.0,87.0,6.76,NE,1627776445.0
douala,4.0483,9.7043,75.04,92.0,100.0,2.04,CM,1627776446.0
lamar,33.6668,-95.5836,95.65,53.0,1.0,6.91,US,1627776446.0
kristiinankaupunki,62.2743,21.376,56.64,92.0,100.0,5.14,FI,1627776446.0
rocha,-34.4833,-54.3333,45.34,79.0,37.0,3.2,UY,1627776447.0
